21.0775,35071,70142,2331672,3887164,6108,6108,31.54,19,0,200,0,5
0.117482,106,212,10761,17998,5941,5941,30.705,12,5,200,0,5
1.6695,2495,4990,192421,323446,6408,6408,33.04,19,10,200,0,5
1.64692,2360,4720,189978,321523,7099,7099,36.495,17,15,200,0,5
2.00009,3077,6154,225237,379805,6827,6827,35.135,21,20,200,0,5
7.54775,12185,24354,805904,1355712,6259,6259,32.295,21,25,200,0,5
4.55009,7040,14080,480804,818191,5738,5738,29.69,22,30,200,0,5
2.18037,3433,6794,229623,387952,5673,5673,29.365,15,35,200,0,5
0.637118,1193,2381,64819,107797,5676,5676,29.38,14,40,200,0,5
2.67665,4699,9398,283027,478131,5532,5532,28.66,16,45,200,0,5
3.18506,6551,13102,295524,495066,5531,5531,28.655,14,50,200,0,5
0.172654,256,512,20148,33292,5627,5627,29.135,14,55,200,0,5
0.119695,161,322,13684,23003,5710,5710,29.55,7,60,200,0,5
0.117369,141,282,14566,24208,5825,5825,30.125,12,65,200,0,5
0.483663,850,1692,50937,86279,5842,5842,30.21,15,70,200,0,5
0.46816,654,1308,55549,92650,5761,5761,29.805,15,75,200,0,5
0.870104,1600,3200,88886,148624,5827,5827,30.135,15,80,200,0,5
0.133574,54,109,10288,16714,6115,6095,31.575,57,0,200,0
0.114403,45,91,9469,15457,6037,6028,31.185,41,5,200,0
0.111113,38,77,9450,15449,6531,6523,33.655,37,10,200,0
0.129586,42,85,10470,17163,7148,7139,36.74,42,15,200,0
0.13356,43,87,10574,17273,6885,6877,35.425,43,20,200,0
0.138176,51,103,10081,16458,6215,6202,32.075,50,25,200,0
0.155197,50,101,9453,15438,5831,5816,30.155,51,30,200,0
0.136354,54,109,9783,15952,5654,5635,29.27,52,35,200,0
0.144923,60,121,10036,16357,5654,5635,29.27,66,40,200,0
0.132192,54,109,9511,15513,5419,5407,28.095,53,45,200,0
0.140499,59,119,9925,16153,5505,5491,28.525,59,50,200,0
0.12325,47,95,8990,14636,5531,5522,28.655,48,55,200,0
0.135951,51,103,10119,16518,6028,6017,31.14,49,60,200,0
0.123736,43,87,9337,15248,5788,5780,29.94,42,65,200,0
0.129184,49,99,9769,15919,5922,5907,30.61,48,70,200,0
0.132139,48,97,9332,15216,5700,5683,29.5,45,75,200,0
0.115795,45,91,8884,14491,5662,5647,29.31,48,80,200,0
0.136075,49,99,9324,15200,5685,5672,29.425,47,85,200,0
0.124275,53,107,9751,15876,5816,5805,30.08,54,90,200,0
0.158294,71,143,11551,18817,5834,5820,30.17,68,95,200,0
0.144278,65,131,10922,17799,5851,5839,30.255,63,100,200,0
0.131484,57,115,10003,16351,5751,5743,29.755,59,105,200,0
0.123156,49,99,9275,15143,5497,5489,28.485,50,110,200,0
